date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
23-02-2024,BP_130329,MCGUIGAN,MCGUIGAN 黑標莎當妮白酒,750ML,白酒,89,89,$150 / 2件,None,0,https://www.pns.hk/zh-hk/%E9%BB%91%E6%A8%99%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_130329,parknshop
23-02-2024,BP_137654,朝日,朝日 ＤＲＹ　ＣＲＹＳＴＡＬ啤酒,500ML,啤酒,16.90,16.90,$29.9 / 2件,已售100,0,https://www.pns.hk/zh-hk/%EF%BC%A4%EF%BC%B2%EF%BC%B9%E3%80%80%EF%BC%A3%EF%BC%B2%EF%BC%B9%EF%BC%B3%EF%BC%B4%EF%BC%A1%EF%BC%AC%E5%95%A4%E9%85%92/p/BP_137654,parknshop
23-02-2024,BP_135216,THREE OAKS,THREE OAKS 蘋果酒,375ML,果酒,25,29,$63 / 3件,None,0,https://www.pns.hk/zh-hk/%E8%98%8B%E6%9E%9C%E9%85%92/p/BP_135216,parknshop
23-02-2024,BP_129293,SANTA HELENA,SANTA HELENA 珍藏莎當妮白酒,750ML,白酒,129,129,$218 / 2件,None,0,https://www.pns.hk/zh-hk/%E7%8F%8D%E8%97%8F%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_129293,parknshop
23-02-2024,BP_129292,DOM D'AUSSIERES,DOM D'AUSSIERES 奥堂红酒,750ML,紅酒,198,198,None,None,0,https://www.pns.hk/zh-hk/%E5%A5%A5%E5%A0%82%E7%BA%A2%E9%85%92/p/BP_129292,parknshop
23-02-2024,BP_119960,BRANCOTT EST,BRANCOTT EST 馬爾堡蘇維翁白酒,75CL,白酒,158,158,$188 / 2件,None,0,https://www.pns.hk/zh-hk/%E9%A6%AC%E7%88%BE%E5%A0%A1%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_119960,parknshop
23-02-2024,BP_111560,台灣啤酒,台灣啤酒 金牌台灣啤酒,500ML,啤酒,11.90,15.90,$18 / 2件,None,0,https://www.pns.hk/zh-hk/%E9%87%91%E7%89%8C%E5%8F%B0%E7%81%A3%E5%95%A4%E9%85%92/p/BP_111560,parknshop
23-02-2024,BP_338039,梅乃宿,梅乃宿 細果粒桃酒,720ML,日本酒,188,219,None,None,0,https://www.pns.hk/zh-hk/%E7%B4%B0%E6%9E%9C%E7%B2%92%E6%A1%83%E9%85%92/p/BP_338039,parknshop
23-02-2024,BP_409719,KENDALL JACKSON,KENDALL JACKSON 仙粉黛紅酒,75CL,紅酒,178,178,None,None,0,https://www.pns.hk/zh-hk/%E4%BB%99%E7%B2%89%E9%BB%9B%E7%B4%85%E9%85%92/p/BP_409719,parknshop
23-02-2024,BP_409752,GERARD BERTRAND,GERARD BERTRAND 法國南部紅酒,75CL,紅酒,129,129,None,None,0,https://www.pns.hk/zh-hk/%E6%B3%95%E5%9C%8B%E5%8D%97%E9%83%A8%E7%B4%85%E9%85%92/p/BP_409752,parknshop
23-02-2024,BP_426127,蝶矢,蝶矢 柚子酒,750ML,日本酒,168,168,None,None,0,https://www.pns.hk/zh-hk/%E6%9F%9A%E5%AD%90%E9%85%92/p/BP_426127,parknshop
23-02-2024,BP_477849,雲霧之灣,雲霧之灣 莎當妮白酒（原箱）,75CLX6,白酒,1780,1780,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92%EF%BC%88%E5%8E%9F%E7%AE%B1%EF%BC%89/p/BP_477849,parknshop
23-02-2024,BP_409742,智利蒙加斯,智利蒙加斯 精選蘇維翁白酒,75CL,白酒,79,100,None,已售100,0,https://www.pns.hk/zh-hk/%E7%B2%BE%E9%81%B8%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_409742,parknshop
23-02-2024,BP_409740,智利蒙加斯,智利蒙加斯 精選莎當妮白酒,75CL,白酒,79,100,None,None,0,https://www.pns.hk/zh-hk/%E7%B2%BE%E9%81%B8%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_409740,parknshop
23-02-2024,BP_333035,梅乃宿,梅乃宿 柚子酒,720ML,日本酒,170,238,None,None,0,https://www.pns.hk/zh-hk/%E6%9F%9A%E5%AD%90%E9%85%92/p/BP_333035,parknshop
23-02-2024,BP_415617,添加利,添加利 １０號金酒,75CL,烈酒,495,495,None,None,0,https://www.pns.hk/zh-hk/%EF%BC%91%EF%BC%90%E8%99%9F%E9%87%91%E9%85%92/p/BP_415617,parknshop
23-02-2024,BP_473338,杜威,杜威 艾爾啤酒,330ML,啤酒,29.90,29.90,送贈品,已售100,0,https://www.pns.hk/zh-hk/%E8%89%BE%E7%88%BE%E5%95%A4%E9%85%92/p/BP_473338,parknshop
23-02-2024,BP_413153,THE SHY PIG,THE SHY PIG 長相思白酒,75CL,白酒,79,79,送贈品,None,0,https://www.pns.hk/zh-hk/%E9%95%B7%E7%9B%B8%E6%80%9D%E7%99%BD%E9%85%92/p/BP_413153,parknshop
23-02-2024,BP_485939,萬歲樂,萬歲樂 加賀梅酒,720ML,日本酒,245,245,None,None,0,https://www.pns.hk/zh-hk/%E5%8A%A0%E8%B3%80%E6%A2%85%E9%85%92/p/BP_485939,parknshop
23-02-2024,BP_405387,K1664,K1664 白啤酒（ 原裝）,330MLX4X6,啤酒,372,372,送贈品,None,0,https://www.pns.hk/zh-hk/%E7%99%BD%E5%95%A4%E9%85%92%EF%BC%88%20%E5%8E%9F%E8%A3%9D%EF%BC%89/p/BP_405387,parknshop
23-02-2024,BP_492248,貴州,貴州 茅台王子酒５３％,500ML,中國酒,599,630,None,None,0,https://www.pns.hk/zh-hk/%E8%8C%85%E5%8F%B0%E7%8E%8B%E5%AD%90%E9%85%92%EF%BC%95%EF%BC%93%EF%BC%85/p/BP_492248,parknshop
23-02-2024,BP_486114,白鶴,白鶴 上撰清酒,1.8L,日本酒,128,188,None,None,0,https://www.pns.hk/zh-hk/%E4%B8%8A%E6%92%B0%E6%B8%85%E9%85%92/p/BP_486114,parknshop
23-02-2024,BP_391031,摩根船長,摩根船長 黑朗姆酒,700ML,烈酒,262,262,None,None,0,https://www.pns.hk/zh-hk/%E9%BB%91%E6%9C%97%E5%A7%86%E9%85%92/p/BP_391031,parknshop
23-02-2024,BP_119037,DARK HORSE,DARK HORSE 雙享紅酒,75CL,紅酒,79,79,$158 / 3件,已售100,0,https://www.pns.hk/zh-hk/%E9%9B%99%E4%BA%AB%E7%B4%85%E9%85%92/p/BP_119037,parknshop
23-02-2024,BP_482438,STELLA ARTOIS,STELLA ARTOIS 巨罐裝啤酒,500ML,啤酒,19.90,19.90,送贈品,None,0,https://www.pns.hk/zh-hk/%E5%B7%A8%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%92/p/BP_482438,parknshop
